state_code	state_text	display_level	selectable	sort_sequence
00	Total US	0	T	1
01	Alabama	2	T	6
02	Alaska	2	T	7
04	Arizona	2	T	8
05	Arkansas	2	T	9
06	California	2	T	10
08	Colorado	2	T	11
09	Connecticut	2	T	12
10	Delaware	2	T	13
11	District of Columbia	2	T	14
12	Florida	2	T	15
13	Georgia	2	T	16
15	Hawaii	2	T	17
16	Idaho	2	T	18
17	Illinois	2	T	19
18	Indiana	2	T	20
19	Iowa	2	T	21
20	Kansas	2	T	22
21	Kentucky	2	T	23
22	Louisiana	2	T	24
23	Maine	2	T	25
24	Maryland	2	T	26
25	Massachusetts	2	T	27
26	Michigan	2	T	28
27	Minnesota	2	T	29
28	Mississippi	2	T	30
29	Missouri	2	T	31
30	Montana	2	T	32
31	Nebraska	2	T	33
32	Nevada	2	T	34
33	New Hampshire	2	T	35
34	New Jersey	2	T	36
35	New Mexico	2	T	37
36	New York	2	T	38
37	North Carolina	2	T	39
38	North Dakota	2	T	40
39	Ohio	2	T	41
40	Oklahoma	2	T	42
41	Oregon	2	T	43
42	Pennsylvania	2	T	44
44	Rhode Island	2	T	45
45	South Carolina	2	T	46
46	South Dakota	2	T	47
47	Tennessee	2	T	48
48	Texas	2	T	49
49	Utah	2	T	50
50	Vermont	2	T	51
51	Virginia	2	T	52
53	Washington	2	T	53
54	West Virginia	2	T	54
55	Wisconsin	2	T	55
56	Wyoming	2	T	56
MW	Midwest region	1	T	4
NE	Northeast region	1	T	2
SO	South region	1	T	3
WE	West region	1	T	5
